year,race_number,driver,fp1_avg_lap_time,fp1_best_lap_time,fp1_lap_time_std,fp1_total_laps,fp1_delta_to_best,fp1_s1_avg,fp1_s2_avg,fp1_s3_avg,fp1_s1_fastest,fp1_s2_fastest,fp1_s3_fastest,fp1_run_avg_pace,fp1_run_deg_rate,fp2_avg_lap_time,fp2_best_lap_time,fp2_lap_time_std,fp2_total_laps,fp2_delta_to_best,fp2_s1_avg,fp2_s2_avg,fp2_s3_avg,fp2_s1_fastest,fp2_s2_fastest,fp2_s3_fastest,fp2_run_avg_pace,fp2_run_deg_rate,fp3_avg_lap_time,fp3_best_lap_time,fp3_lap_time_std,fp3_total_laps,fp3_delta_to_best,fp3_s1_avg,fp3_s2_avg,fp3_s3_avg,fp3_s1_fastest,fp3_s2_fastest,fp3_s3_fastest,fp3_run_avg_pace,fp3_run_deg_rate,q_avg_lap_time,q_best_lap_time,q_lap_time_std,q_total_laps,q_delta_to_best,q_s1_avg,q_s2_avg,q_s3_avg,q_s1_fastest,q_s2_fastest,q_s3_fastest,q_quali_clean_laps,FP1_avg_air_temp,FP2_avg_air_temp,FP3_avg_air_temp,Q_avg_air_temp,R_avg_air_temp,FP1_avg_humidity,FP2_avg_humidity,FP3_avg_humidity,Q_avg_humidity,R_avg_humidity,FP1_avg_track_temp,FP2_avg_track_temp,FP3_avg_track_temp,Q_avg_track_temp,R_avg_track_temp,FP1_dry_or_wet,FP2_dry_or_wet,FP3_dry_or_wet,Q_dry_or_wet,R_dry_or_wet,FP1_weather_variability,FP2_weather_variability,FP3_weather_variability,Q_weather_variability,R_weather_variability,finish_position_y,qualifying_position_y
2018,1,GRO,91.108312,85.73,5.194163,16.0,5.378312,29.595187,24.26425,37.248875,28.202,23.162,34.127,91.108312,0.0127497690327001,94.864588,88.237,14.485525,17.0,6.627588,31.077058,24.821529,38.966,29.218,23.76,35.259,94.864588,-0.0018158246431506,101.694,96.171,6.896639,3.0,5.523,33.252333,27.44,41.001666,31.767,25.553,38.851,101.694,0.1368455134135059,83.339,83.339,0.0,1.0,0.0,27.546,22.684,33.109,27.546,22.684,33.109,1.0,26.7813725490196,29.73970588235294,19.772058823529417,24.737179487179485,24.077477477477483,33.85980392156863,25.176470588235293,86.83823529411765,60.55641025641024,30.91531531531532,42.3,41.73088235294119,24.75882352941176,30.473076923076924,36.32432432432432,0.0,0.0,0.2205882352941176,0.0,0.045045045045045,1.489174083106893,0.746980604266088,1.6855059053538526,0.9669205766426164,2.133136798897696,16.0,7.0
2018,1,HAM,98.745941,84.026,17.093297,17.0,14.719941,33.584705,26.577411,38.583823,27.679,22.794,33.375,98.745941,0.0127497690327001,88.757562,87.602,0.880507,16.0,1.155562,29.319812,23.960687,35.477062,29.011,23.565,35.006,88.757562,-0.0018158246431506,99.049666,94.225,4.539678,3.0,4.824666,32.196333,26.796333,40.057,30.848,25.401,37.976,99.049666,0.1368455134135059,81.6075,81.164,0.627203,2.0,0.4435,26.9185,22.1695,32.5195,26.698,22.066,32.4,2.0,26.7813725490196,29.73970588235294,19.772058823529417,24.737179487179485,24.077477477477483,33.85980392156863,25.176470588235293,86.83823529411765,60.55641025641024,30.91531531531532,42.3,41.73088235294119,24.75882352941176,30.473076923076924,36.32432432432432,0.0,0.0,0.2205882352941176,0.0,0.045045045045045,1.489174083106893,0.746980604266088,1.6855059053538526,0.9669205766426164,2.133136798897696,2.0,1.0
2018,1,MAG,89.0795,87.035,1.70761,6.0,2.0445,29.501666,23.744666,35.833166,28.689,23.479,34.441,89.0795,0.0127497690327001,95.034,85.246,14.262559,14.0,9.788,30.938642,24.448857,39.6465,28.077,23.165,34.004,95.034,-0.0018158246431506,99.73675,96.807,4.2451,4.0,2.92975,31.95375,26.2905,41.4925,31.705,25.764,38.586,99.73675,0.1368455134135059,83.187,83.187,0.0,1.0,0.0,27.49,22.632,33.065,27.49,22.632,33.065,1.0,26.7813725490196,29.73970588235294,19.772058823529417,24.737179487179485,24.077477477477483,33.85980392156863,25.176470588235293,86.83823529411765,60.55641025641024,30.91531531531532,42.3,41.73088235294119,24.75882352941176,30.473076923076924,36.32432432432432,0.0,0.0,0.2205882352941176,0.0,0.045045045045045,1.489174083106893,0.746980604266088,1.6855059053538526,0.9669205766426164,2.133136798897696,17.0,6.0
2018,1,RAI,92.356363,84.875,7.2842,11.0,7.481363,29.915818,24.629181,37.811363,28.118,23.053,33.704,92.356363,0.0127497690327001,92.5655,88.269,12.121535,18.0,4.2965,29.976166,24.621444,37.967888,29.221,23.734,35.206,92.5655,-0.0018158246431506,88.499,88.499,0.0,1.0,0.0,29.78,23.789,34.93,29.78,23.789,34.93,88.499,0.1368455134135059,82.0395,81.828,0.299106,2.0,0.2115,27.123,22.2745,32.642,26.992,22.204,32.632,2.0,26.7813725490196,29.73970588235294,19.772058823529417,24.737179487179485,24.077477477477483,33.85980392156863,25.176470588235293,86.83823529411765,60.55641025641024,30.91531531531532,42.3,41.73088235294119,24.75882352941176,30.473076923076924,36.32432432432432,0.0,0.0,0.2205882352941176,0.0,0.045045045045045,1.489174083106893,0.746980604266088,1.6855059053538526,0.9669205766426164,2.133136798897696,3.0,2.0
2018,1,RIC,96.914666,85.063,14.751793,12.0,11.851666,31.446916,25.426166,40.041583,28.203,23.041,33.706,96.914666,0.0127497690327001,89.818666,88.075,2.342578,12.0,1.7436660000000002,29.459916,23.961666,36.397083,29.163,23.595,35.127,89.818666,-0.0018158246431506,99.262,94.043,7.38078,2.0,5.219,31.544,27.704,40.014,31.031,25.112,37.9,99.262,0.1368455134135059,82.269,82.152,0.165462,2.0,0.117,27.2385,22.4625,32.568,27.237,22.448,32.464,2.0,26.7813725490196,29.73970588235294,19.772058823529417,24.737179487179485,24.077477477477483,33.85980392156863,25.176470588235293,86.83823529411765,60.55641025641024,30.91531531531532,42.3,41.73088235294119,24.75882352941176,30.473076923076924,36.32432432432432,0.0,0.0,0.2205882352941176,0.0,0.045045045045045,1.489174083106893,0.746980604266088,1.6855059053538526,0.9669205766426164,2.133136798897696,4.0,5.0
2018,1,SAI,98.477666,85.922,18.236331,12.0,12.555666,33.1895,27.140833,38.147333,28.439,23.362,34.074,98.477666,0.0127497690327001,93.913764,89.041,12.193657,17.0,4.872764,30.422529,24.807294,38.683941,29.469,24.004,35.527,93.913764,-0.0018158246431506,109.906,93.172,23.768213,3.0,16.734,34.623666,29.095666,46.186666,30.533,25.157,37.482,109.906,0.1368455134135059,83.577,83.577,0.0,1.0,0.0,27.641,22.695,33.241,27.641,22.695,33.241,1.0,26.7813725490196,29.73970588235294,19.772058823529417,24.737179487179485,24.077477477477483,33.85980392156863,25.176470588235293,86.83823529411765,60.55641025641024,30.91531531531532,42.3,41.73088235294119,24.75882352941176,30.473076923076924,36.32432432432432,0.0,0.0,0.2205882352941176,0.0,0.045045045045045,1.489174083106893,0.746980604266088,1.6855059053538526,0.9669205766426164,2.133136798897696,10.0,9.0
2018,1,VER,93.877588,84.771,10.659636,17.0,9.106588,30.839,25.172117,37.86647,27.978,23.048,33.482,93.877588,0.0127497690327001,89.486277,88.301,1.408075,18.0,1.185277,29.541611,24.086111,35.858555,29.186,23.715,35.08,89.486277,-0.0018158246431506,91.68,91.68,0.0,1.0,0.0,30.049,24.535,37.096,30.049,24.535,37.096,91.68,0.1368455134135059,81.9955,81.879,0.164755,2.0,0.1165,27.0655,22.315,32.615,26.971,22.241,32.563,2.0,26.7813725490196,29.73970588235294,19.772058823529417,24.737179487179485,24.077477477477483,33.85980392156863,25.176470588235293,86.83823529411765,60.55641025641024,30.91531531531532,42.3,41.73088235294119,24.75882352941176,30.473076923076924,36.32432432432432,0.0,0.0,0.2205882352941176,0.0,0.045045045045045,1.489174083106893,0.746980604266088,1.6855059053538526,0.9669205766426164,2.133136798897696,6.0,4.0
2018,1,VET,90.746222,84.995,5.0224,9.0,5.751222,29.597222,24.246888,36.902111,28.172,23.001,33.822,90.746222,0.0127497690327001,92.794312,88.019,13.536257,16.0,4.775312,29.650375,24.182,38.961937,29.151,23.665,35.163,92.794312,-0.0018158246431506,96.099666,86.067,10.127804,3.0,10.032666,30.486333,26.740333,38.873,28.923,23.192,33.952,96.099666,0.1368455134135059,81.9615,81.838,0.174655,2.0,0.1235,27.0215,22.195,32.745,27.018,22.129,32.691,2.0,26.7813725490196,29.73970588235294,19.772058823529417,24.737179487179485,24.077477477477483,33.85980392156863,25.176470588235293,86.83823529411765,60.55641025641024,30.91531531531532,42.3,41.73088235294119,24.75882352941176,30.473076923076924,36.32432432432432,0.0,0.0,0.2205882352941176,0.0,0.045045045045045,1.489174083106893,0.746980604266088,1.6855059053538526,0.9669205766426164,2.133136798897696,1.0,3.0
2018,2,ALO,100.729545,93.223,10.082688,11.0,7.506545,31.529454,43.872363,25.327727,29.736,40.021,23.211,100.729545,0.0105162917366918,97.71935,91.282,7.130172,20.0,6.43735,31.02745,42.5797,24.1122,29.133,39.391,22.758,97.71935,-0.0002474737885787,100.872666,91.445,13.544957,6.0,9.427666,31.803166,43.8435,25.226,29.119,39.314,22.859,100.872666,-0.0188101700024113,90.63675,90.212,0.482551,4.0,0.42475,29.0535,38.90575,22.6775,28.858,38.64,22.609,4.0,30.243298969072168,27.179591836734687,29.482089552238808,28.214473684210528,27.982524271844653,36.718556701030934,49.139795918367355,44.0089552238806,43.017105263157895,47.36310679611651,40.42886597938144,32.89999999999999,37.723880597014926,31.864473684210523,32.19805825242719,0.0,0.0,0.0,0.0,0.0,0.6689624216425719,0.9728582299232016,1.0960879076580472,1.734278125388096,1.2058002787230635,7.0,13.0
2018,2,BOT,102.557235,91.364,12.465523,17.0,11.193235,32.050117,45.078764,25.428352,29.088,39.357,22.813,102.557235,0.0105162917366918,96.41638,90.38,2.966325,21.0,6.03638,30.537714,41.946476,23.93219,28.849,38.996,22.535,96.41638,-0.0002474737885787,100.962428,90.896,13.967061,7.0,10.066428,31.987,44.547428,24.428,29.103,39.101,22.646,100.962428,-0.0188101700024113,94.9456,88.124,14.291308,5.0,6.8216,29.9268,40.6026,24.4162,28.014,37.98,22.129,5.0,30.243298969072168,27.179591836734687,29.482089552238808,28.214473684210528,27.982524271844653,36.718556701030934,49.139795918367355,44.0089552238806,43.017105263157895,47.36310679611651,40.42886597938144,32.89999999999999,37.723880597014926,31.864473684210523,32.19805825242719,0.0,0.0,0.0,0.0,0.0,0.6689624216425719,0.9728582299232016,1.0960879076580472,1.734278125388096,1.2058002787230635,2.0,3.0
