year,race_number,driver,finish_position,qualifying_position
2018,10,GAS,13.0,14.0
2018,10,PER,10.0,12.0
2018,10,ALO,8.0,13.0
2018,10,LEC,19.0,9.0
2018,10,STR,12.0,19.0
2018,10,MAG,9.0,7.0
2018,10,HUL,6.0,11.0
2018,10,HAR,20.0,20.0
2018,10,OCO,7.0,10.0
2018,10,VER,15.0,5.0
2018,10,SIR,14.0,18.0
2018,10,HAM,2.0,1.0
2018,10,SAI,17.0,16.0
2018,10,BOT,4.0,4.0
2018,11,VAN,13.0,20.0
2018,11,RIC,20.0,15.0
2018,11,VET,18.0,1.0
2018,11,RAI,3.0,3.0
2018,11,GRO,6.0,6.0
2018,11,GAS,14.0,17.0
2018,11,PER,7.0,10.0
2018,11,ALO,16.0,11.0
2018,11,LEC,15.0,9.0
2018,11,STR,17.0,19.0
2018,11,MAG,11.0,5.0
2018,11,HUL,5.0,7.0
2018,11,HAR,10.0,18.0
2018,11,VER,4.0,4.0
2018,11,LAT,DNF,DNF
2018,11,SIR,19.0,12.0
2018,11,GIO,DNF,DNF
2018,11,HAM,1.0,14.0
2018,11,SAI,12.0,8.0
2018,11,BOT,2.0,2.0
2018,11,ERI,9.0,13.0
2018,11,OCO,8.0,16.0
2018,12,VAN,18.0,16.0
2018,12,RIC,4.0,12.0
2018,12,VET,2.0,4.0
2018,12,RAI,3.0,3.0
2018,12,GRO,10.0,10.0
2018,12,ERI,15.0,14.0
2018,12,GAS,6.0,6.0
2018,12,PER,14.0,19.0
2018,12,ALO,8.0,11.0
2018,12,STR,17.0,15.0
2018,12,MAG,7.0,9.0
2018,12,HUL,12.0,13.0
2018,12,HAR,11.0,8.0
2018,12,OCO,13.0,18.0
2018,12,VER,19.0,7.0
2018,12,SIR,16.0,20.0
2018,12,GIO,DNF,DNF
2018,12,HAM,1.0,1.0
2018,12,SAI,9.0,5.0
2018,12,BOT,5.0,2.0
2018,12,LEC,20.0,17.0
2018,13,VAN,15.0,20.0
2018,13,RIC,16.0,8.0
2018,13,VET,1.0,2.0
2018,13,RAI,17.0,6.0
2018,13,GRO,7.0,5.0
2018,13,ERI,10.0,14.0
2018,13,GAS,9.0,11.0
2018,13,PER,5.0,4.0
2018,13,LEC,18.0,13.0
2018,13,STR,13.0,19.0
2018,13,MAG,8.0,9.0
2018,13,HUL,20.0,15.0
2018,13,HAR,14.0,12.0
2018,13,OCO,6.0,3.0
2018,13,VER,3.0,7.0
2018,13,SIR,12.0,18.0
2018,13,HAM,2.0,1.0
2018,13,NOR,DNF,DNF
2018,13,SAI,11.0,16.0
2018,13,BOT,4.0,10.0
2018,13,ALO,19.0,17.0
2018,14,RIC,17.0,15.0
2018,14,VET,4.0,2.0
2018,14,RAI,2.0,1.0
2018,14,GRO,20.0,6.0
2018,14,ERI,15.0,19.0
2018,14,GAS,14.0,9.0
2018,14,PER,7.0,16.0
2018,14,ALO,18.0,13.0
2018,14,LEC,11.0,17.0
2018,14,STR,9.0,10.0
2018,14,MAG,16.0,11.0
2018,14,HUL,13.0,14.0
2018,14,HAR,19.0,18.0
2018,14,OCO,6.0,8.0
2018,14,VER,5.0,5.0
2018,14,SIR,10.0,12.0
2018,14,HAM,1.0,3.0
2018,14,NOR,DNF,DNF
2018,14,SAI,8.0,7.0
2018,14,BOT,3.0,4.0
2018,14,VAN,12.0,20.0
2018,15,VAN,12.0,18.0
2018,15,RIC,6.0,6.0
2018,15,VET,3.0,3.0
2018,15,RAI,5.0,5.0
2018,15,GRO,15.0,8.0
2018,15,ERI,11.0,14.0
2018,15,GAS,13.0,15.0
2018,15,PER,16.0,7.0
2018,15,ALO,7.0,11.0
2018,15,LEC,9.0,13.0
2018,15,STR,14.0,20.0
2018,15,MAG,18.0,16.0
2018,15,HUL,10.0,10.0
2018,15,HAR,17.0,17.0
2018,15,OCO,20.0,9.0
2018,15,VER,2.0,2.0
2018,15,SIR,19.0,19.0
2018,15,HAM,1.0,1.0
2018,15,SAI,8.0,12.0
2018,15,BOT,4.0,4.0
2018,16,VAN,16.0,19.0
2018,16,RIC,6.0,12.0
2018,16,VET,3.0,3.0
2018,16,RAI,4.0,4.0
2018,16,GRO,11.0,9.0
2018,16,GAS,19.0,13.0
2018,16,LEC,7.0,7.0
2018,16,STR,15.0,20.0
2018,16,MAG,8.0,5.0
2018,16,HUL,12.0,15.0
2018,16,HAR,20.0,16.0
2018,16,OCO,9.0,6.0
2018,16,VER,5.0,11.0
2018,16,LAT,DNF,DNF
2018,16,SIR,18.0,18.0
2018,16,GIO,DNF,DNF
2018,16,HAM,1.0,2.0
2018,16,MAR,DNF,DNF
2018,16,NOR,DNF,DNF
2018,16,BOT,2.0,1.0
2018,16,ERI,13.0,10.0
2018,16,PER,10.0,8.0
2018,16,ALO,14.0,17.0
2018,16,SAI,17.0,14.0
2018,17,RIC,4.0,15.0
2018,17,VET,6.0,9.0
2018,17,RAI,5.0,4.0
2018,17,GRO,8.0,5.0
2018,17,ERI,12.0,20.0
2018,17,GAS,11.0,7.0
2018,17,PER,7.0,10.0
2018,17,ALO,14.0,18.0
2018,17,LEC,18.0,11.0
2018,17,STR,17.0,14.0
2018,17,MAG,20.0,12.0
2018,17,HUL,19.0,16.0
2018,17,HAR,13.0,6.0
2018,17,OCO,9.0,8.0
2018,17,VER,3.0,3.0
2018,17,SIR,16.0,17.0
2018,17,HAM,1.0,1.0
2018,17,NOR,DNF,DNF
2018,17,SAI,10.0,13.0
2018,17,BOT,2.0,2.0
2018,17,VAN,15.0,19.0
2018,18,RIC,16.0,5.0
2018,18,VET,4.0,2.0
2018,18,RAI,1.0,3.0
2018,18,GRO,17.0,8.0
2018,18,ERI,10.0,19.0
2018,18,GAS,12.0,13.0
2018,18,PER,8.0,10.0
2018,18,ALO,18.0,16.0
2018,18,LEC,15.0,9.0
2018,18,STR,14.0,18.0
2018,18,MAG,20.0,12.0
2018,18,HUL,6.0,7.0
2018,18,OCO,19.0,6.0
2018,18,VER,2.0,15.0
2018,18,SIR,13.0,17.0
2018,18,GEL,DNF,DNF
2018,18,HAM,3.0,1.0
2018,18,NOR,DNF,DNF
2018,18,SAI,7.0,11.0
2018,18,BOT,5.0,4.0
2018,18,VAN,11.0,20.0
2018,18,HAR,9.0,14.0
2018,19,VAN,8.0,17.0
2018,19,RIC,17.0,1.0
2018,19,VET,2.0,4.0
2018,19,RAI,3.0,6.0
2018,19,GRO,16.0,16.0
2018,19,ERI,9.0,10.0
2018,19,GAS,10.0,15.0
2018,19,PER,18.0,13.0
2018,19,STR,12.0,19.0
2018,19,MAG,15.0,18.0
2018,19,HUL,6.0,7.0
2018,19,HAR,14.0,14.0
2018,19,VER,1.0,2.0
2018,19,LAT,DNF,DNF
2018,19,SIR,13.0,20.0
2018,19,GIO,DNF,DNF
2018,19,HAM,4.0,3.0
2018,19,NOR,DNF,DNF
2018,19,SAI,19.0,8.0
2018,19,BOT,5.0,5.0
2018,19,ALO,20.0,12.0
2018,19,LEC,7.0,9.0
2018,19,OCO,11.0,11.0
2018,20,VAN,14.0,20.0
2018,20,RIC,4.0,6.0
2018,20,VET,6.0,2.0
2018,20,RAI,3.0,4.0
2018,20,GRO,8.0,9.0
2018,20,GAS,13.0,10.0
2018,20,LEC,7.0,8.0
2018,20,STR,18.0,19.0
2018,20,MAG,9.0,11.0
2018,20,HUL,19.0,14.0
2018,20,HAR,11.0,17.0
2018,20,OCO,15.0,13.0
2018,20,VER,2.0,5.0
2018,20,LAT,DNF,DNF
2018,20,SIR,16.0,15.0
2018,20,GIO,DNF,DNF
2018,20,HAM,1.0,1.0
2018,20,NOR,DNF,DNF
2018,20,SAI,12.0,16.0
2018,20,BOT,5.0,3.0
2018,20,ERI,20.0,7.0
2018,20,PER,10.0,12.0
2018,20,ALO,17.0,18.0
2018,21,VAN,14.0,18.0
2018,21,RIC,4.0,5.0
2018,21,VET,2.0,3.0
2018,21,RAI,19.0,4.0
2018,21,GRO,9.0,7.0
2018,21,ERI,18.0,12.0
2018,21,GAS,16.0,17.0
2018,21,PER,8.0,14.0
2018,21,ALO,11.0,15.0
2018,21,STR,13.0,20.0
2018,21,MAG,10.0,13.0
2018,21,HUL,20.0,10.0
2018,21,HAR,12.0,16.0
2018,21,OCO,17.0,9.0
2018,21,VER,3.0,6.0
2018,21,GIO,DNF,DNF
2018,21,KUB,DNF,DNF
2018,21,HAM,1.0,1.0
2018,21,SAI,6.0,11.0
2018,21,BOT,5.0,2.0
2018,21,LEC,7.0,8.0
2018,21,SIR,15.0,19.0
2019,1,RIC,19.0,12.0
2019,1,NOR,12.0,8.0
2019,1,VET,4.0,3.0
2019,1,RAI,8.0,9.0
2019,1,GRO,18.0,6.0
2019,1,GAS,11.0,17.0
2019,1,PER,13.0,10.0
2019,1,LEC,5.0,5.0
2019,1,STR,9.0,16.0
2019,1,MAG,6.0,7.0
2019,1,ALB,14.0,13.0
2019,1,KVY,10.0,15.0
2019,1,HUL,7.0,11.0
2019,1,VER,3.0,4.0
2019,1,HAM,2.0,1.0
2019,1,SAI,20.0,18.0
2019,1,RUS,16.0,19.0
2019,1,BOT,1.0,2.0
2019,1,KUB,17.0,20.0
2019,1,GIO,15.0,14.0
2019,2,RIC,18.0,11.0
2019,2,NOR,6.0,10.0
2019,2,VET,5.0,2.0
2019,2,RAI,7.0,9.0
2019,2,GRO,20.0,8.0
2019,2,GAS,8.0,13.0
2019,2,PER,10.0,14.0
2019,2,LEC,3.0,1.0
2019,2,STR,14.0,18.0
2019,2,MAG,13.0,6.0
2019,2,ALB,9.0,12.0
2019,2,KVY,12.0,15.0
2019,2,HUL,17.0,17.0
2019,2,VER,4.0,5.0
2019,2,HAM,1.0,3.0
2019,2,SAI,19.0,7.0
2019,2,RUS,15.0,19.0
2019,2,BOT,2.0,4.0
2019,2,KUB,16.0,20.0
2019,2,GIO,11.0,16.0
2019,3,RIC,7.0,7.0
2019,3,NOR,18.0,15.0
2019,3,VET,3.0,3.0
2019,3,RAI,9.0,13.0
2019,3,GRO,11.0,10.0
2019,3,GAS,6.0,6.0
2019,3,PER,8.0,12.0
2019,3,LEC,5.0,4.0
2019,3,STR,12.0,16.0
2019,3,MAG,13.0,9.0
2019,3,ALB,10.0,
2019,3,KVY,19.0,11.0
2019,3,HUL,20.0,8.0
2019,3,VER,4.0,5.0
2019,3,HAM,1.0,2.0
2019,3,SAI,14.0,14.0
2019,3,RUS,16.0,17.0
2019,3,BOT,2.0,1.0
2019,3,KUB,17.0,18.0
2019,3,GIO,15.0,
2019,4,RIC,20.0,11.0
2019,4,NOR,8.0,7.0
2019,4,VET,3.0,3.0
2019,4,RAI,10.0,19.0
2019,4,GRO,18.0,15.0
2019,4,GAS,17.0,20.0
2019,4,PER,6.0,5.0
2019,4,LEC,5.0,9.0
2019,4,STR,9.0,14.0
2019,4,MAG,13.0,13.0
2019,4,ALB,11.0,12.0
2019,4,KVY,19.0,6.0
2019,4,HUL,14.0,16.0
2019,4,VER,4.0,4.0
2019,4,HAM,2.0,2.0
2019,4,SAI,7.0,10.0
2019,4,RUS,15.0,17.0
2019,4,BOT,1.0,1.0
2019,4,KUB,16.0,18.0
2019,4,GIO,12.0,8.0
2019,5,RIC,12.0,10.0
2019,5,NOR,20.0,11.0
2019,5,VET,4.0,3.0
2019,5,RAI,14.0,14.0
2019,5,GRO,10.0,7.0
2019,5,GAS,6.0,6.0
2019,5,PER,15.0,15.0
2019,5,LEC,5.0,5.0
2019,5,STR,19.0,17.0
2019,5,MAG,7.0,8.0
2019,5,ALB,11.0,12.0
2019,5,KVY,9.0,9.0
2019,5,HUL,13.0,16.0
2019,5,VER,3.0,4.0
2019,5,HAM,1.0,2.0
2019,5,SAI,8.0,13.0
2019,5,RUS,17.0,19.0
2019,5,BOT,2.0,1.0
2019,5,KUB,18.0,20.0
2019,5,GIO,16.0,18.0
2019,6,RIC,9.0,7.0
2019,6,NOR,11.0,12.0
2019,6,VET,2.0,4.0
2019,6,RAI,17.0,14.0
2019,6,GRO,10.0,13.0
2019,6,GAS,5.0,5.0
2019,6,PER,12.0,17.0
2019,6,LEC,20.0,16.0
2019,6,STR,16.0,18.0
2019,6,MAG,14.0,6.0
2019,6,ALB,8.0,10.0
2019,6,KVY,7.0,8.0
2019,6,HUL,13.0,11.0
2019,6,VER,4.0,3.0
2019,6,HAM,1.0,1.0
2019,6,SAI,6.0,9.0
2019,6,RUS,15.0,19.0
2019,6,BOT,3.0,2.0
2019,6,KUB,18.0,20.0
2019,6,GIO,19.0,15.0
2019,7,RIC,6.0,4.0
2019,7,NOR,20.0,8.0
2019,7,VET,2.0,1.0
2019,7,RAI,15.0,17.0
2019,7,GRO,14.0,15.0
2019,7,GAS,8.0,5.0
2019,7,PER,12.0,16.0
2019,7,LEC,3.0,3.0
2019,7,STR,9.0,18.0
2019,7,MAG,17.0,10.0
2019,7,ALB,19.0,14.0
2019,7,KVY,10.0,12.0
2019,7,HUL,7.0,7.0
2019,7,VER,5.0,11.0
2019,7,LAT,DNF,DNF
2019,7,HAM,1.0,2.0
2019,7,SAI,11.0,9.0
2019,7,RUS,16.0,19.0
2019,7,BOT,4.0,6.0
2019,7,GIO,13.0,13.0
2019,7,KUB,18.0,20.0
2019,8,RIC,11.0,8.0
2019,8,NOR,9.0,5.0
2019,8,VET,5.0,7.0
2019,8,RAI,7.0,12.0
2019,8,GRO,20.0,17.0
2019,8,GAS,10.0,9.0
2019,8,PER,12.0,14.0
2019,8,LEC,3.0,3.0
2019,8,STR,13.0,18.0
2019,8,MAG,17.0,15.0
2019,8,ALB,15.0,11.0
2019,8,KVY,14.0,16.0
2019,8,HUL,8.0,13.0
2019,8,VER,4.0,4.0
2019,8,LAT,DNF,DNF
2019,8,HAM,1.0,1.0
2019,8,SAI,6.0,6.0
2019,8,BOT,2.0,2.0
2019,8,KUB,18.0,20.0
2019,8,GIO,16.0,10.0
2019,8,RUS,19.0,19.0
2019,9,RIC,12.0,14.0
2019,9,NOR,6.0,6.0
2019,9,VET,4.0,10.0
2019,9,RAI,9.0,7.0
2019,9,GRO,16.0,11.0
2019,9,GAS,7.0,9.0
2019,9,PER,11.0,16.0
2019,9,LEC,2.0,1.0
2019,9,STR,14.0,17.0
2019,9,MAG,19.0,5.0
2019,9,ALB,15.0,13.0
2019,9,KVY,17.0,18.0
2019,9,HUL,13.0,12.0
2019,9,VER,1.0,3.0
2019,9,HAM,5.0,2.0
2019,9,SAI,8.0,15.0
2019,9,RUS,18.0,19.0
2019,9,BOT,3.0,4.0
2019,9,KUB,20.0,20.0
2019,9,GIO,10.0,8.0
2019,10,RIC,7.0,7.0
2019,10,NOR,11.0,8.0
2019,10,VET,16.0,6.0
2019,10,RAI,8.0,12.0
2019,10,GRO,19.0,14.0
2019,10,GAS,4.0,5.0
2019,10,PER,17.0,15.0
2019,10,LEC,3.0,3.0
2019,10,STR,13.0,18.0
2019,10,MAG,20.0,16.0
2019,10,ALB,12.0,9.0
2019,10,KVY,9.0,17.0
2019,10,HUL,10.0,10.0
2019,10,VER,5.0,4.0
2019,10,HAM,1.0,2.0
2019,10,SAI,6.0,13.0
2019,10,RUS,14.0,19.0
2019,10,BOT,2.0,1.0
2019,10,KUB,15.0,20.0
2019,10,GIO,18.0,11.0
2019,11,RIC,19.0,13.0
2019,11,NOR,18.0,16.0
2019,11,VET,2.0,20.0
2019,11,RAI,12.0,5.0
2019,11,GRO,7.0,6.0
2019,11,GAS,14.0,4.0
2019,11,PER,20.0,8.0
2019,11,LEC,17.0,10.0
2019,11,STR,4.0,15.0
2019,11,MAG,8.0,12.0
2019,11,ALB,6.0,17.0
2019,11,KVY,3.0,14.0
2019,11,HUL,16.0,9.0
2019,11,VER,1.0,2.0
2019,11,HAM,9.0,1.0
2019,11,SAI,5.0,7.0
2019,11,RUS,11.0,18.0
2019,11,BOT,15.0,3.0
2019,11,KUB,10.0,19.0
2019,11,GIO,13.0,11.0
2019,12,RIC,14.0,18.0
2019,12,NOR,9.0,7.0
2019,12,VET,3.0,5.0
2019,12,RAI,7.0,10.0
2019,12,GRO,20.0,9.0
2019,12,GAS,6.0,6.0
2019,12,PER,11.0,17.0
2019,12,LEC,4.0,4.0
2019,12,STR,17.0,19.0
2019,12,MAG,13.0,15.0
2019,12,ALB,10.0,12.0
2019,12,KVY,15.0,13.0
2019,12,HUL,12.0,11.0
2019,12,VER,2.0,1.0
2019,12,HAM,1.0,3.0
2019,12,SAI,5.0,8.0
2019,12,RUS,16.0,16.0
2019,12,BOT,8.0,2.0
2019,12,KUB,19.0,20.0
2019,12,GIO,18.0,14.0
2019,13,RIC,14.0,6.0
2019,13,NOR,11.0,12.0
2019,13,VET,4.0,2.0
2019,13,RAI,16.0,8.0
2019,13,GRO,13.0,11.0
2019,13,GAS,9.0,16.0
2019,13,PER,6.0,9.0
2019,13,LEC,1.0,1.0
