,avg_track_temp,avg_air_temp,avg_humidity,dry_or_wet,weather_variability
"(2018, 1, 'FP1', 'ALO')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'BOT')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'ERI')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'GAS')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'GRO')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'HAM')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'HAR')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'HUL')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'LEC')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'MAG')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'OCO')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'PER')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'RAI')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'RIC')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'SAI')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'SIR')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'STR')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'VAN')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'VER')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
"(2018, 1, 'FP1', 'VET')",42.3,26.7813725490196,33.85980392156863,0.0,1.489174083106893
