year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,run_avg_pace,run_deg_rate
2018,1,VAN,90.449642,85.285,5.174728,14,5.164642,29.620214,24.2075,36.621928,28.123,23.19,33.908,90.449642,-0.001815824643150642
2018,1,RIC,89.818666,88.075,2.342578,12,1.7436660000000002,29.459916,23.961666,36.397083,29.163,23.595,35.127,89.818666,-0.001815824643150642
2018,1,VET,92.794312,88.019,13.536256999999999,16,4.775312,29.650375,24.182,38.961937,29.151,23.665,35.163,92.794312,-0.001815824643150642
2018,1,RAI,92.5655,88.269,12.121535,18,4.2965,29.976166,24.621444,37.967888,29.221,23.734,35.206,92.5655,-0.001815824643150642
2018,1,GRO,94.864588,88.237,14.485524999999999,17,6.627588,31.077058,24.821528999999998,38.966,29.218,23.76,35.259,94.864588,-0.001815824643150642
2018,1,ERI,93.451,89.898,10.873407,16,3.553,30.162937,24.491562,38.7965,29.757,24.021,36.004,93.451,-0.001815824643150642
2018,1,GAS,93.417619,89.448,11.749182,21,3.969619,30.358761,24.400047,38.658809,29.587,23.959,35.89,93.417619,-0.001815824643150642
2018,1,PER,92.698538,85.413,7.26802,13,7.285538,30.387769,24.741615,37.569153,28.075,23.136,34.202,92.698538,-0.001815824643150642
2018,1,ALO,98.48375,85.285,20.4957,8,13.19875,30.64725,25.346625,42.489875,28.165,23.151,33.969,98.48375,-0.001815824643150642
2018,1,LEC,94.434941,90.336,13.816983,17,4.098941,30.432705,24.657823,39.344411,29.866,24.155,36.133,94.434941,-0.001815824643150642
2018,1,STR,90.723461,85.543,3.844374,13,5.180461,30.229692,24.359846,36.133923,28.178,23.083,34.235,90.723461,-0.001815824643150642
2018,1,MAG,95.034,85.246,14.262559,14,9.788,30.938642,24.448857,39.6465,28.077,23.165,34.004,95.034,-0.001815824643150642
2018,1,HUL,92.760222,88.924,11.212713,18,3.8362220000000002,29.971888,24.195555,38.592777,29.367,23.83,35.573,92.760222,-0.001815824643150642
2018,1,HAR,90.704444,89.266,0.985966,18,1.438444,29.868333,24.178222,36.657888,29.342,23.983,35.921,90.704444,-0.001815824643150642
2018,1,OCO,95.139785,85.888,14.668399,14,9.251785,30.712428,24.671357,39.756,28.354,23.36,34.128,95.139785,-0.001815824643150642
2018,1,VER,89.486277,88.301,1.408075,18,1.185277,29.541611,24.086111,35.858555,29.186,23.715,35.08,89.486277,-0.001815824643150642
2018,1,SIR,95.2338,89.939,15.129518,15,5.2948,30.3088,24.822333,40.102666,29.725,24.099,35.941,95.2338,-0.001815824643150642
2018,1,HAM,88.757562,87.602,0.880507,16,1.155562,29.319812,23.960687,35.477062,29.011,23.565,35.006,88.757562,-0.001815824643150642
2018,1,SAI,93.913764,89.041,12.193657,17,4.872764,30.422529,24.807294,38.683941,29.469,24.004,35.527,93.913764,-0.001815824643150642
2018,1,BOT,89.58425,87.896,2.515069,16,1.68825,29.353562,24.185437,36.04525,29.051,23.575,35.202,89.58425,-0.001815824643150642
2018,2,VAN,99.079961,91.422,9.717594,26,7.657961,31.550961,42.751846,24.777153,29.253,39.249,22.815,99.079961,-0.00024747378857878545
2018,2,RIC,98.056173,90.751,10.309965,23,7.305173,30.954304,42.960565,24.141304,29.012,39.078,22.654,98.056173,-0.00024747378857878545
2018,2,VET,97.748428,89.828,8.864893,28,7.920428,30.922857,42.523357,24.302214,28.616,38.691,22.485,97.748428,-0.00024747378857878545
2018,2,RAI,96.877833,89.817,6.602937,18,7.060833,30.706333,41.932166,24.239333,28.491,38.729,22.575,96.877833,-0.00024747378857878545
2018,2,GRO,97.9391,91.591,4.974614,20,6.3481,31.166,42.42835,24.34475,29.019,39.324,23.038,97.9391,-0.00024747378857878545
2018,2,ERI,99.507217,92.733,7.675351,23,6.774217,31.410217,43.389434,24.707565,29.555,40.043,22.993,99.507217,-0.00024747378857878545
2018,2,GAS,98.042571,91.232,7.198491,28,6.810571,31.259857,42.799071,23.983642,29.07,39.236,22.676,98.042571,-0.00024747378857878545
2018,2,PER,98.619476,91.868,7.185099,21,6.751476,31.260476,42.757095,24.601904,29.274,39.559,23.035,98.619476,-0.00024747378857878545
2018,2,ALO,97.71935,91.282,7.130172,20,6.43735,31.02745,42.5797,24.1122,29.133,39.391,22.758,97.71935,-0.00024747378857878545
