year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,run_avg_pace,run_deg_rate
2018,1,VAN,97.461888,86.482,19.656686,9,10.979888,30.395777,24.785111,42.281,28.611,23.47,34.289,97.461888,0.012749769032700116
2018,1,RIC,96.914666,85.063,14.751793,12,11.851666,31.446916,25.426166,40.041583,28.203,23.041,33.706,96.914666,0.012749769032700116
2018,1,VET,90.746222,84.995,5.0224,9,5.751222,29.597222,24.246888,36.902111,28.172,23.001,33.822,90.746222,0.012749769032700116
2018,1,RAI,92.356363,84.875,7.2842,11,7.481363,29.915818,24.629181,37.811363,28.118,23.053,33.704,92.356363,0.012749769032700116
2018,1,GRO,91.108312,85.73,5.194163,16,5.378312,29.595187,24.26425,37.248875,28.202,23.162,34.127,91.108312,0.012749769032700116
2018,1,ERI,92.331684,87.964,7.862684,19,4.367684,29.952789,24.759789,37.619105,28.906,23.76,35.2,92.331684,0.012749769032700116
2018,1,GAS,96.0258,86.494,12.542211,15,9.5318,31.439,24.922733,39.664066,28.639,23.343,34.512,96.0258,0.012749769032700116
2018,1,PER,93.074187,86.767,6.901377,16,6.307187,30.7265,25.1445,37.203187,28.561,23.505,34.531,93.074187,0.012749769032700116
2018,1,ALO,90.012222,85.896,5.177318,9,4.116222,29.669111,24.309333,36.033777,28.485,23.312,34.012,90.012222,0.012749769032700116
2018,1,LEC,94.36365,88.853,11.501097,20,5.51065,30.78605,24.7915,38.7861,29.297,23.909,35.419,94.36365,0.012749769032700116
2018,1,STR,94.543882,86.636,9.394463,17,7.907882,30.291823,24.955764,39.296294,28.374,23.505,34.504,94.543882,0.012749769032700116
2018,1,MAG,89.0795,87.035,1.7076099999999999,6,2.0445,29.501666,23.744666,35.833166,28.689,23.479,34.441,89.0795,0.012749769032700116
2018,1,HUL,97.58047,86.583,14.312112,17,10.99747,31.559705,25.682294,40.33847,28.619,23.422,34.32,97.58047,0.012749769032700116
2018,1,HAR,98.29275,87.745,17.366381,8,10.54775,30.79,25.36275,42.14,28.86,23.468,35.31,98.29275,0.012749769032700116
2018,1,OCO,94.74355,86.605,10.247036,20,8.13855,31.67135,25.415,37.6572,28.474,23.496,34.406,94.74355,0.012749769032700116
2018,1,VER,93.877588,84.771,10.659636,17,9.106588,30.839,25.172117,37.86647,27.978,23.048,33.482,93.877588,0.012749769032700116
2018,1,SIR,96.698818,86.536,13.995225,11,10.162818,31.546818000000002,26.253454,38.898545,28.544,23.308,34.536,96.698818,0.012749769032700116
2018,1,HAM,98.745941,84.026,17.093297,17,14.719941,33.584705,26.577411,38.583823,27.679,22.794,33.375,98.745941,0.012749769032700116
2018,1,SAI,98.477666,85.922,18.236331,12,12.555666,33.1895,27.140833,38.147333,28.439,23.362,34.074,98.477666,0.012749769032700116
2018,1,BOT,94.114777,84.577,10.850768,18,9.537777,30.820722,25.211,38.083055,28.037,22.929,33.525,94.114777,0.012749769032700116
2018,2,VAN,103.169235,93.364,11.506024,17,9.805235,32.636058,44.670647,25.862529,29.703,40.238,23.243,103.169235,0.010516291736691833
2018,2,RIC,93.4915,91.06,1.748504,6,2.4314999999999998,29.883833,40.471333,23.136333,29.096,39.288,22.676,93.4915,0.010516291736691833
2018,2,VET,98.3535,91.47,7.96013,8,6.8835,31.09875,43.010875,24.243875,28.992,39.544,22.934,98.3535,0.010516291736691833
2018,2,RAI,97.1552,91.458,7.013676,10,5.6972000000000005,30.4247,42.6721,24.0584,29.065,39.481,22.887,97.1552,0.010516291736691833
2018,2,GRO,100.604125,92.516,9.578667,16,8.088125,31.56425,43.882437,25.157437,29.441,39.936,23.139,100.604125,0.010516291736691833
2018,2,ERI,105.0955,93.508,12.801381,14,11.5875,32.190928,46.396357,26.508214,29.715,40.301,23.345,105.0955,0.010516291736691833
