year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,run_avg_pace,run_deg_rate
2018,3,VET,101.230666,93.018,11.503066,6,8.212666,26.640166,30.786833,43.803666,24.538,27.874,40.505,101.230666,0.004039625140627684
2018,3,RAI,98.395,93.469,4.844221,8,4.926,25.693875,29.044375,43.65675,24.839,27.921,40.668,98.395,0.004039625140627684
2018,3,GRO,107.366666,95.756,10.16581,3,11.610666,27.026333,34.237666,46.102666,25.378,28.363,42.015,107.366666,0.004039625140627684
2018,3,ERI,106.7726,95.679,15.486163,5,11.0936,27.282,32.2798,47.2108,25.161,28.484,41.925,106.7726,0.004039625140627684
2018,3,GAS,104.525333,95.079,10.278002,9,9.446333,27.701999999999998,32.018888,44.804444,25.193,28.473,41.413,104.525333,0.004039625140627684
2018,3,PER,106.364,94.445,10.867724,10,11.919,26.8699,31.9473,47.5468,25.045,28.273,40.976,106.364,0.004039625140627684
2018,3,ALO,100.0565,94.851,9.549251,4,5.2055,26.5735,30.20925,43.27375,25.047,28.326,41.366,100.0565,0.004039625140627684
2018,3,LEC,104.857833,95.497,12.151583,6,9.360833,27.0275,32.288666,45.541666,25.117,28.611,41.769,104.857833,0.004039625140627684
2018,3,STR,103.291111,95.375,10.024016,9,7.916111,27.181221999999998,31.143,44.966888,25.115,28.425,41.833,103.291111,0.004039625140627684
2018,3,MAG,100.419055,94.329,3.48575,18,6.0900549999999996,26.850333,30.334,43.234722,25.027,28.095,41.207,100.419055,0.004039625140627684
2018,3,HUL,101.673625,94.841,6.010595,8,6.832625,26.773875,30.40575,44.494,25.006,28.299,41.305,101.673625,0.004039625140627684
2018,3,HAR,101.807181,94.991,6.204328,11,6.816181,27.032,30.45209,44.32309,25.289,28.201,41.501,101.807181,0.004039625140627684
2018,3,OCO,108.2775,94.456,14.311042,12,13.8215,26.900083,32.7055,48.671916,24.861,28.184,41.397,108.2775,0.004039625140627684
2018,3,VER,103.601222,93.969,12.384639,9,9.632222,27.090888,31.373,45.137333,24.822,27.994,41.153,103.601222,0.004039625140627684
2018,3,SIR,102.800875,94.741,9.199956,8,8.059875,26.86525,31.028375,44.90725,24.977,28.231,41.533,102.800875,0.004039625140627684
2018,3,HAM,104.644125,94.057,7.448341,8,10.587125,26.281125,30.37475,47.98825,24.573,28.109,41.168,104.644125,0.004039625140627684
2018,3,SAI,104.403916,94.582,11.789123,12,9.821916,27.803916,31.962,44.638,25.189,28.216,41.177,104.403916,0.004039625140627684
2018,3,BOT,101.393,93.761,8.88778,9,7.632,26.552111,30.523555,44.317333,24.828,27.972,40.888,101.393,0.004039625140627684
2018,4,VAN,116.266285,105.505,12.279599,7,10.761285,40.802857,48.295571,27.167857,36.96,42.235,26.147,116.266285,0.014812600302922878
2018,4,RIC,110.421,104.861,5.84767,10,5.5600000000000005,39.6706,44.519,26.2314,36.957,42.36,25.544,110.421,0.014812600302922878
2018,4,VET,116.299111,103.091,15.103296,9,13.208111,41.637666,48.331333,26.330111,35.863,41.201,25.422,116.299111,0.014812600302922878
2018,4,RAI,112.2836,103.493,7.990094,10,8.7906,39.7649,45.5905,26.9282,35.947,41.393,25.74,112.2836,0.014812600302922878
2018,4,GRO,115.392857,105.261,7.166309,7,10.131857,39.256142,47.178,28.958714,36.583,42.325,25.81,115.392857,0.014812600302922878
