year,race_number,driver,avg_lap_time,best_lap_time,lap_time_std,total_laps,delta_to_best,s1_avg,s2_avg,s3_avg,s1_fastest,s2_fastest,s3_fastest,quali_clean_laps
2018,4,RAI,110.791,102.49,8.878185,10,8.301,38.3736,45.8189,26.5985,35.283,40.704,25.426,10
2018,4,OCO,111.0315,102.523,12.863398,10,8.5085,39.8275,45.2742,25.9298,35.74,41.441,25.044,10
2018,4,PER,113.0987,102.547,12.957793,10,10.5517,39.1731,47.4598,26.4658,35.708,41.43,25.304,10
2018,4,HUL,107.131625,103.066,9.605068,8,4.065625,37.730125,43.49025,25.91125,35.861,41.48,25.586,8
2018,4,SAI,107.50175,103.351,9.754345,8,4.15075,38.064125,43.549625,25.888,36.218,41.46,25.17,8
2018,4,STR,109.680125,103.585,8.054536,8,6.095125,38.52925,44.638375,26.5125,36.138,41.571,25.61,8
2018,4,SIR,110.179111,103.886,9.854484,9,6.293111,39.072888,44.929777,26.176444,36.154,41.797,25.427,9
2018,4,ALO,112.015,104.01,7.590561,8,8.005,39.28275,46.174375,26.557875,36.133,41.749,25.643,8
2018,4,LEC,112.279666,103.752,11.978104,9,8.527666,39.369333,46.971333,25.939,36.195,41.754,25.576999999999998,9
2018,4,MAG,111.9085,103.674,12.124465,6,8.2345,40.2275,45.421833,26.259166,36.439,41.886,25.328,6
2018,4,VAN,111.97075,104.489,8.592581,4,7.48175,39.7215,45.72625,26.523,36.634,42.079,25.735,4
2018,4,GAS,110.70675,104.496,11.080769,4,6.21075,39.4765,44.345,26.88525,36.395,42.229,25.872,4
2018,4,ERI,120.362375,105.541,14.513608,8,14.821375,44.19525,49.559375,26.60775,36.679,42.651,25.948,8
2018,4,HAR,117.354,117.354,0.0,1,0.0,41.062,48.331,27.961,41.062,48.331,27.961,1
2018,5,HAM,83.966666,76.173,12.384014,6,7.793666,23.2345,30.820166,29.912,21.525,28.316,26.326,6
2018,5,BOT,85.235,76.213,16.985689,4,9.022,23.41375,31.168,30.65325,21.528,28.366,26.319,4
2018,5,VET,76.787333,76.305,0.475169,3,0.482333,21.742666,28.652333,26.392333,21.551,28.555,26.199,3
2018,5,RAI,77.291666,76.612,0.812785,3,0.679666,22.085666,28.742,26.464,21.697,28.561,26.34,3
2018,5,VER,77.041,76.816,0.318198,2,0.225,21.9185,28.695,26.4275,21.9,28.609,26.307,2
2018,5,RIC,81.904333,76.818,11.025254,6,5.086333,23.2775,31.118833,27.508,21.819,28.687,26.159,6
2018,5,MAG,86.203,77.618,10.814429,9,8.585,23.445666,32.530555,30.226777,21.842,28.894,26.771,9
2018,5,ALO,78.1245,77.721,0.400052,4,0.4035,22.1175,29.06325,26.94375,22.073,28.913,26.689,4
2018,5,SAI,83.512714,77.79,6.853755,7,5.722714,22.440428,31.086,29.986285,21.99,29.074,26.681,7
2018,5,GRO,85.41075,77.699,10.390567,8,7.71175,23.617375,32.511625,29.28175,21.867,29.011,26.81,8
